movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,movie_feature
avatar,Action Adventure Fantasy Sci-Fi,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
pirates of the caribbean: at world's end,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
spectre,Action Adventure Thriller,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
the dark knight rises,Action Thriller,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
star wars: episode vii - the force awakens,Documentary,Doug Walker,Doug Walker,Rob Walker,unknown,Doug Walker Rob Walker unknown Doug Walker Documentary
john carter,Action Adventure Sci-Fi,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
tangled,Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
avengers: age of ultron,Action Adventure Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
harry potter and the half-blood prince,Adventure Family Fantasy Mystery,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
batman v superman: dawn of justice,Action Adventure Sci-Fi,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
superman returns,Action Adventure Sci-Fi,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
quantum of solace,Action Adventure,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
pirates of the caribbean: dead man's chest,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
the lone ranger,Action Adventure Western,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
man of steel,Action Adventure Fantasy Sci-Fi,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
the chronicles of narnia: prince caspian,Action Adventure Family Fantasy,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
pirates of the caribbean: on stranger tides,Action Adventure Fantasy,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
the hobbit: the battle of the five armies,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the amazing spider-man,Action Adventure Fantasy,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
the hobbit: the desolation of smaug,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the golden compass,Adventure Family Fantasy,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
titanic,Drama Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
captain america: civil war,Action Adventure Sci-Fi,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
battleship,Action Adventure Sci-Fi Thriller,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
jurassic world,Action Adventure Sci-Fi Thriller,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
spider-man 2,Action Adventure Fantasy Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
iron man 3,Action Adventure Sci-Fi,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
x-men: the last stand,Action Adventure Fantasy Sci-Fi Thriller,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
monsters university,Adventure Animation Comedy Family Fantasy,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
transformers: revenge of the fallen,Action Adventure Sci-Fi,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
transformers: age of extinction,Action Adventure Sci-Fi,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
the amazing spider-man 2,Action Adventure Fantasy Sci-Fi,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
cars 2,Adventure Animation Comedy Family Sport,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
green lantern,Action Adventure Sci-Fi,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
toy story 3,Adventure Animation Comedy Family Fantasy,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
terminator salvation,Action Adventure Sci-Fi,McG,Christian Bale,Bryce Dallas Howard,Common,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
furious 7,Action Crime Thriller,James Wan,Jason Statham,Paul Walker,Vin Diesel,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
world war z,Action Adventure Horror Sci-Fi Thriller,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
x-men: days of future past,Action Adventure Fantasy Sci-Fi Thriller,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
star trek into darkness,Action Adventure Sci-Fi,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
jack the giant slayer,Adventure Fantasy,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
prince of persia: the sands of time,Action Adventure Fantasy Romance,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
pacific rim,Action Adventure Sci-Fi,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
transformers: dark of the moon,Action Adventure Sci-Fi,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
the good dinosaur,Adventure Animation Comedy Family Fantasy,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
brave,Adventure Animation Comedy Family Fantasy,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
star trek beyond,Action Adventure Sci-Fi Thriller,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
wall·e,Adventure Animation Family Sci-Fi,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
rush hour 3,Action Comedy Crime Thriller,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
2012,Action Adventure Sci-Fi,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
a christmas carol,Animation Drama Family Fantasy,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
jupiter ascending,Action Adventure Sci-Fi,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
"the chronicles of narnia: the lion, the witch and the wardrobe",Adventure Family Fantasy,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
x-men: apocalypse,Action Adventure Sci-Fi,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
the dark knight,Action Crime Drama Thriller,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
up,Adventure Animation Comedy Family,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
iron man,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
hugo,Adventure Drama Family Mystery,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
wild wild west,Action Comedy Sci-Fi Western,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
the mummy: tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
suicide squad,Action Adventure Comedy Sci-Fi,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
evan almighty,Comedy Family Fantasy,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
edge of tomorrow,Action Adventure Sci-Fi,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
waterworld,Action Adventure Sci-Fi Thriller,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
g.i. joe: the rise of cobra,Action Adventure Sci-Fi Thriller,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
inside out,Adventure Animation Comedy Drama Family Fantasy,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
iron man 2,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
snow white and the huntsman,Action Adventure Drama Fantasy,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
maleficent,Action Adventure Family Fantasy Romance,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
dawn of the planet of the apes,Action Adventure Drama Sci-Fi,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
47 ronin,Action Adventure Drama Fantasy,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
captain america: the winter soldier,Action Adventure Sci-Fi,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
shrek forever after,Adventure Animation Comedy Family Fantasy,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
tomorrowland,Action Adventure Family Mystery Sci-Fi,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
wreck-it ralph,Adventure Animation Comedy Family Sci-Fi,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
the polar express,Adventure Animation Family Fantasy,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
independence day: resurgence,Action Adventure Sci-Fi,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
how to train your dragon,Adventure Animation Family Fantasy,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
terminator 3: rise of the machines,Action Sci-Fi,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
guardians of the galaxy,Action Adventure Sci-Fi,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
interstellar,Adventure Drama Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
inception,Action Adventure Sci-Fi Thriller,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
the hobbit: an unexpected journey,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the curious case of benjamin button,Drama Fantasy Romance,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
x-men: first class,Action Adventure Sci-Fi,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
the hunger games: mockingjay - part 2,Adventure Sci-Fi,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
the sorcerer's apprentice,Action Adventure Family Fantasy,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
poseidon,Action Adventure Drama Thriller,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
alice through the looking glass,Adventure Family Fantasy,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
shrek the third,Adventure Animation Comedy Family Fantasy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
warcraft,Action Adventure Fantasy,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
terminator genisys,Action Adventure Sci-Fi,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
the chronicles of narnia: the voyage of the dawn treader,Adventure Family Fantasy,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
pearl harbor,Action Drama History Romance War,Michael Bay,Jennifer Garner,Jaime King,Mako,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
transformers,Action Adventure Sci-Fi,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
alexander,Action Adventure Biography Drama History Romance War,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
harry potter and the order of the phoenix,Adventure Family Fantasy Mystery,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
harry potter and the goblet of fire,Adventure Family Fantasy Mystery,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
hancock,Action Drama,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
i am legend,Drama Horror Sci-Fi,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
charlie and the chocolate factory,Adventure Comedy Family Fantasy,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
ratatouille,Animation Comedy Family Fantasy,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
batman begins,Action Adventure,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
madagascar: escape 2 africa,Action Adventure Animation Comedy Family,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
night at the museum: battle of the smithsonian,Adventure Comedy Family Fantasy,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
x-men origins: wolverine,Action Adventure Fantasy Sci-Fi Thriller,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
the matrix revolutions,Action Sci-Fi,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
the matrix reloaded,Action Sci-Fi,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
thor: the dark world,Action Adventure Fantasy,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
mad max: fury road,Action Adventure Sci-Fi Thriller,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
angels & demons,Mystery Thriller,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
thor,Action Adventure Fantasy,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
bolt,Adventure Animation Comedy Drama Family,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
g-force,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
wrath of the titans,Action Adventure Fantasy,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
dark shadows,Comedy Fantasy Horror,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
mission: impossible - rogue nation,Action Adventure Thriller,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
the wolfman,Drama Fantasy Horror Thriller,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
the legend of tarzan,Action Adventure Drama Romance,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
bee movie,Adventure Animation Comedy Family,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
kung fu panda 2,Action Adventure Animation Comedy Family,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
the last airbender,Action Adventure Family Fantasy,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
mission: impossible iii,Action Adventure Thriller,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
white house down,Action Drama Thriller,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
mars needs moms,Action Adventure Animation Comedy Family Sci-Fi,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Sci-Fi
flushed away,Adventure Animation Comedy Family,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
mr. peabody & sherman,Adventure Animation Comedy Family Sci-Fi,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-Fi
troy,Adventure,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
madagascar 3: europe's most wanted,Adventure Animation Comedy Family,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
die another day,Action Adventure Thriller,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
armageddon,Action Adventure Sci-Fi Thriller,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
